City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,hakha,22.65,93.6167,61.39,99,100,2.73,MM,1696035915
224,beidaihehaibin,39.8222,119.5181,65.48,40,0,8.57,CN,1696035915
225,san antonio de pale,-1.4014,5.6325,76.26,84,59,8.81,GQ,1696035915
226,bardai,11.65,7.2333,70.7,85,58,6.58,NG,1696035915
227,east ballina,-28.8667,153.5833,80.8,62,0,12.5,AU,1696035916
228,troitsko-pechorsk,62.7084,56.1964,34.27,95,27,3.24,RU,1696035916
229,saldanha,-33.0117,17.9442,59.05,92,100,9.71,ZA,1696035916
230,kismayo,-0.3582,42.5454,78.03,83,9,14.09,SO,1696035916
231,porto-vecchio,41.591,9.2795,67.53,87,0,1.14,FR,1696035916
232,nelson bay,-32.7167,152.15,77.09,68,0,8.59,AU,1696035916
233,uturoa,-16.7333,-151.4333,78.53,78,12,17.05,PF,1696035916
234,sodra sandby,56.5667,16.6167,59.9,83,69,16.64,SE,1696035917
235,el copey,10.1503,-73.9614,82.06,73,100,3.31,CO,1696035656
236,aginskoye,51.1,114.53,50.0,64,20,5.39,RU,1696035917
237,yuzhno-kurilsk,44.0306,145.8556,62.8,71,100,7.58,RU,1696035917
238,sikonge,-5.6333,32.7667,71.47,59,96,9.46,TZ,1696035917
239,benevento,41.2179,14.7464,63.37,71,0,3.91,IT,1696035918
240,cabedelo,-6.9811,-34.8339,77.67,73,99,16.26,BR,1696035764
241,dawei,14.0833,98.2,76.87,92,100,3.27,MM,1696035918
242,goias,-15.5807,-49.6362,76.51,78,99,0.29,BR,1696035918
243,awjilah,29.1081,21.2869,71.65,71,4,7.7,LY,1696035918
244,afaahiti,-17.75,-149.2833,80.47,85,52,18.03,PF,1696035918
245,sao mateus,-18.7161,-39.8589,72.39,74,100,8.19,BR,1696035918
246,alofi,-19.0595,-169.9187,76.89,83,74,11.5,NU,1696035919
247,antofagasta,-23.65,-70.4,60.08,86,63,7.81,CL,1696035644
248,talakan,50.3167,130.3667,48.83,93,100,1.1,RU,1696035919
249,luderitz,-26.6481,15.1594,57.88,70,1,8.61,NA,1696035920
250,dalby,-27.1833,151.2667,79.88,37,0,3.2,AU,1696035920
251,andergrove,-21.0833,149.1833,82.65,65,21,11.12,AU,1696035920
252,chernyshevskiy,63.0128,112.4714,43.74,79,100,6.85,RU,1696035920
253,bubaque,11.2833,-15.8333,82.65,80,98,8.7,GW,1696035920
254,chimoio,-19.1164,33.4833,68.95,94,75,0.83,MZ,1696035920
255,tolanaro,-25.0319,46.9987,71.67,83,20,11.5,MG,1696035921
